143.42.27.101:443#DE 306ms
139.162.177.19:443#DE 311ms
172.104.242.5:443#DE 314ms
139.59.159.235:443#DE 319ms
139.177.180.67:443#DE 319ms
139.162.191.101:443#DE 325ms
154.29.155.249:443#US 327ms
45.133.118.153:443#NL 329ms
192.248.177.3:443#DE 338ms
213.183.51.71:443#NL 338ms
95.179.166.107:443#DE 341ms
82.148.30.224:443#RU 344ms
65.20.82.22:443#IN 345ms
3.69.0.8:443#DE 346ms
185.219.220.197:443#DE 348ms
104.234.24.73:443#US 350ms
18.156.209.101:443#DE 350ms
51.178.231.65:443#FR 350ms
3.75.170.179:443#DE 352ms
216.10.243.159:443#IN 353ms
213.170.157.1:443#NZ 356ms
172.104.224.64:443#DE 356ms
3.68.62.122:443#DE 356ms
18.196.70.197:443#DE 359ms
194.58.33.160:443#AE 360ms
170.205.38.77:443#US 360ms
194.87.54.173:443#DE 362ms
104.234.36.246:443#US 363ms
87.251.87.36:443#DE 366ms
149.248.7.208:443#US 368ms
3.249.49.224:443#IE 368ms
23.226.8.80:443#HK 369ms
194.87.71.141:443#DE 372ms
18.159.105.97:443#DE 375ms
104.248.145.216:443#SG 379ms
163.5.207.31:443#NL 379ms
141.145.199.188:443#FR 380ms
77.223.96.158:443#RU 382ms
79.137.197.181:443#NL 383ms
91.192.102.92:443#CH 383ms
194.113.153.237:443#NL 383ms
89.169.13.12:443#NL 383ms
2.59.183.210:443#NL 384ms
194.87.54.32:443#DE 385ms
217.142.243.226:443#JP 385ms
45.91.202.180:443#NL 387ms
143.244.190.195:443#US 387ms
18.193.131.26:443#DE 388ms
194.28.225.2:443#DE 388ms
77.105.147.253:443#DE 389ms
51.20.99.157:443#SE 389ms
139.177.179.81:443#DE 390ms
194.28.224.99:443#DE 394ms
185.100.159.152:443#DE 394ms
109.74.197.249:443#GB 394ms
213.183.61.191:443#NL 394ms
185.246.152.79:443#NL 396ms
86.107.197.239:443#NL 396ms
195.226.194.166:443#NL 399ms
213.226.68.24:443#DE 400ms
78.128.127.89:443#BG 401ms
5.2.75.70:443#NL 402ms
66.151.42.239:443#NL 405ms
107.182.27.151:443#US 405ms
46.226.162.184:443#GB 405ms
45.79.248.18:443#DE 405ms
